ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval+Stemming,31333,SUMM.TXT,0.06241,0.20345,0.09552,3

ROUGE-L+StopWordRemoval+Stemming,32424,SUMM.TXT,0.21667,0.53571,0.30855,4

ROUGE-1+StopWordRemoval+Stemming,32424,SUMM.TXT,0.24121,0.59606,0.34344,4

ROUGE-2+StopWordRemoval+Stemming,32424,SUMM.TXT,0.16402,0.26361,0.20222,4

ROUGE-SU4+StopWordRemoval+Stemming,32424,SUMM.TXT,0.18569,0.26095,0.21698,4

ROUGE-L+StopWordRemoval+Stemming,32545,SUMM.TXT,0.09778,0.74324,0.17282,4

ROUGE-1+StopWordRemoval+Stemming,32545,SUMM.TXT,0.04436,0.76744,0.08387,4

ROUGE-2+StopWordRemoval+Stemming,32545,SUMM.TXT,0.03965,0.47619,0.07321,4

ROUGE-SU4+StopWordRemoval+Stemming,32545,SUMM.TXT,0.05228,0.46951,0.09408,4

ROUGE-L+StopWordRemoval+Stemming,32543,SUMM.TXT,0.09725,0.83125,0.17413,4

ROUGE-1+StopWordRemoval+Stemming,32543,SUMM.TXT,0.06818,0.88806,0.12664,4

ROUGE-2+StopWordRemoval+Stemming,32543,SUMM.TXT,0.06900,0.64394,0.12464,4

ROUGE-SU4+StopWordRemoval+Stemming,32543,SUMM.TXT,0.08680,0.63769,0.15280,4

ROUGE-L+StopWordRemoval+Stemming,32540,SUMM.TXT,0.15615,0.27222,0.19846,3

ROUGE-1+StopWordRemoval+Stemming,32540,SUMM.TXT,0.23648,0.22812,0.23223,3

ROUGE-2+StopWordRemoval+Stemming,32540,SUMM.TXT,0.12003,0.08087,0.09663,3

ROUGE-SU4+StopWordRemoval+Stemming,32540,SUMM.TXT,0.14851,0.09436,0.11540,3

ROUGE-L+StopWordRemoval+Stemming,32541,SUMM.TXT,0.06911,0.63478,0.12465,3

ROUGE-1+StopWordRemoval+Stemming,32541,SUMM.TXT,0.05374,0.67686,0.09958,3

ROUGE-2+StopWordRemoval+Stemming,32541,SUMM.TXT,0.02119,0.20351,0.03838,3

ROUGE-SU4+StopWordRemoval+Stemming,32541,SUMM.TXT,0.04027,0.27434,0.07023,3

ROUGE-L+StopWordRemoval+Stemming,31452,SUMM.TXT,0.11661,0.37867,0.17831,5

ROUGE-1+StopWordRemoval+Stemming,31452,SUMM.TXT,0.21050,0.29220,0.24471,5

ROUGE-2+StopWordRemoval+Stemming,31452,SUMM.TXT,0.12426,0.12088,0.12254,5

ROUGE-SU4+StopWordRemoval+Stemming,31452,SUMM.TXT,0.15860,0.11249,0.13162,5

ROUGE-L+StopWordRemoval+Stemming,31573,SUMM.TXT,0.22570,0.59658,0.32750,4

ROUGE-1+StopWordRemoval+Stemming,31573,SUMM.TXT,0.25447,0.51515,0.34066,4

ROUGE-2+StopWordRemoval+Stemming,31573,SUMM.TXT,0.14682,0.20172,0.16995,4

ROUGE-SU4+StopWordRemoval+Stemming,31573,SUMM.TXT,0.19805,0.25155,0.22161,4

ROUGE-L+StopWordRemoval+Stemming,30922,SUMM.TXT,0.03426,0.35632,0.06251,3

ROUGE-1+StopWordRemoval+Stemming,30922,SUMM.TXT,0.08086,0.59929,0.14250,3

ROUGE-2+StopWordRemoval+Stemming,30922,SUMM.TXT,0.04398,0.22581,0.07362,3

ROUGE-SU4+StopWordRemoval+Stemming,30922,SUMM.TXT,0.05816,0.23478,0.09323,3

ROUGE-L+StopWordRemoval+Stemming,30924,SUMM.TXT,0.05017,0.50667,0.09129,3

ROUGE-1+StopWordRemoval+Stemming,30924,SUMM.TXT,0.05934,0.62698,0.10842,3

ROUGE-2+StopWordRemoval+Stemming,30924,SUMM.TXT,0.02315,0.26016,0.04252,3

ROUGE-SU4+StopWordRemoval+Stemming,30924,SUMM.TXT,0.02623,0.24000,0.04729,3

ROUGE-L+StopWordRemoval+Stemming,32548,SUMM.TXT,0.11657,0.41892,0.18239,3

ROUGE-1+StopWordRemoval+Stemming,32548,SUMM.TXT,0.14103,0.40704,0.20948,3

ROUGE-2+StopWordRemoval+Stemming,32548,SUMM.TXT,0.06457,0.11111,0.08168,3

ROUGE-SU4+StopWordRemoval+Stemming,32548,SUMM.TXT,0.10976,0.14349,0.12438,3

ROUGE-L+StopWordRemoval+Stemming,31336,SUMM.TXT,0.30334,0.50000,0.37760,4

ROUGE-1+StopWordRemoval+Stemming,31336,SUMM.TXT,0.35762,0.56700,0.43860,4

ROUGE-2+StopWordRemoval+Stemming,31336,SUMM.TXT,0.28025,0.26205,0.27084,4

ROUGE-SU4+StopWordRemoval+Stemming,31336,SUMM.TXT,0.32253,0.24839,0.28064,4

ROUGE-L+StopWordRemoval+Stemming,31699,SUMM.TXT,0.11678,0.33974,0.17382,3

ROUGE-1+StopWordRemoval+Stemming,31699,SUMM.TXT,0.15093,0.39516,0.21843,3

ROUGE-2+StopWordRemoval+Stemming,31699,SUMM.TXT,0.04887,0.09214,0.06386,3

ROUGE-SU4+StopWordRemoval+Stemming,31699,SUMM.TXT,0.08448,0.14918,0.10788,3

ROUGE-L+StopWordRemoval+Stemming,30800,SUMM.TXT,0.07906,0.43038,0.13359,3

ROUGE-1+StopWordRemoval+Stemming,30800,SUMM.TXT,0.07694,0.58955,0.13612,3

ROUGE-2+StopWordRemoval+Stemming,30800,SUMM.TXT,0.02974,0.13784,0.04892,3

ROUGE-SU4+StopWordRemoval+Stemming,30800,SUMM.TXT,0.06520,0.22323,0.10093,3

ROUGE-L+StopWordRemoval+Stemming,30920,SUMM.TXT,0.05544,0.39259,0.09716,3

ROUGE-1+StopWordRemoval+Stemming,30920,SUMM.TXT,0.16798,0.70659,0.27143,3

ROUGE-2+StopWordRemoval+Stemming,30920,SUMM.TXT,0.10255,0.27711,0.14970,3

ROUGE-SU4+StopWordRemoval+Stemming,30920,SUMM.TXT,0.14271,0.28444,0.19007,3

ROUGE-L+StopWordRemoval+Stemming,30904,SUMM.TXT,0.09615,0.55556,0.16393,3

ROUGE-1+StopWordRemoval+Stemming,30904,SUMM.TXT,0.07635,0.55556,0.13425,3

ROUGE-2+StopWordRemoval+Stemming,30904,SUMM.TXT,0.02909,0.37255,0.05397,3

ROUGE-SU4+StopWordRemoval+Stemming,30904,SUMM.TXT,0.05388,0.30000,0.09135,3

ROUGE-L+StopWordRemoval+Stemming,30907,SUMM.TXT,0.06206,0.40341,0.10757,3

ROUGE-1+StopWordRemoval+Stemming,30907,SUMM.TXT,0.13125,0.60685,0.21582,3

ROUGE-2+StopWordRemoval+Stemming,30907,SUMM.TXT,0.06958,0.22611,0.10641,3

